Credit_Card_Exceed_Months,Employment_Type,Loan_Amount,Loan_Tenure_Year,More_Than_One_Products,Credit_Card_More_Than_Months,Number_of_Dependents,Years_to_Financial_Freedom,Number_of_Credit_Card_Facility,Number_of_Properties,Number_of_Bank_Products,Number_of_Loan_to_Approve,Property_Type,Years_for_Property_to_Completion,State,Number_of_Side_Income,Monthly_Salary,Total_Sum_of_Loan,Total_Income_for_Join_Application,Decision,Score
1,employer,456509,16,yes,1,2,5,2,2,1,1,condominium,10,Johor,2,12262,853141,16025,Reject,7
1,employer,605505,19,no,1,2,5,2,2,1,2,condominium,10,Johor,2,9251,882901,17082,Accept,9
1,employer,294133,19,yes,1,2,5,2,2,1,3,condominium,10,Johor,2,4919,540489,12613,Reject,8
1,employer,490216,20,no,1,2,5,2,2,1,1,condominium,10,Johor,1,4459,536727,10952,Accept,9
1,employer,292728,14,yes,1,2,5,2,2,1,2,condominium,10,Johor,3,5628,774695,11209,Reject,8
1,employer,198118,11,no,1,2,5,2,2,1,2,condominium,10,Johor,2,11323,1350187,16349,Reject,7
1,employer,226681,22,yes,1,2,5,2,2,1,1,condominium,10,Johor,3,3999,615986,11172,Accept,7
1,employer,667042,21,no,1,2,5,2,2,1,2,condominium,10,Johor,3,6230,1022337,7543,Reject,8
1,employer,114428,24,yes,1,2,5,2,2,1,2,condominium,10,Johor,2,11983,556822,12947,Accept,8
1,employer,453105,12,no,1,2,5,2,2,1,1,condominium,10,Johor,2,4506,1155848,18385,Reject,7
1,employer,238090,22,yes,1,2,5,2,2,1,2,condominium,10,Johor,3,5109,629295,11335,Reject,8
1,employer,610885,10,no,1,2,5,2,2,1,3,condominium,10,Johor,1,11604,1010426,12328,Accept,7
1,employer,236478,23,yes,1,2,5,2,2,1,3,condominium,10,Johor,2,6493,848730,11533,Accept,7
1,employer,355396,24,no,1,2,5,2,2,1,3,condominium,10,Johor,3,5459,524595,15290,Accept,8
1,employer,244563,20,yes,1,2,5,2,2,1,3,condominium,10,Johor,2,11476,1251358,13698,Reject,6
1,employer,577456,13,no,1,2,5,2,2,1,3,condominium,10,Johor,3,11886,1183881,12738,Accept,8
1,employer,165982,12,yes,1,2,5,2,2,1,3,condominium,10,Johor,2,7593,786953,10878,Reject,7
1,employer,100443,14,no,1,2,5,2,2,1,1,condominium,10,Johor,3,9947,561999,11808,Reject,8
1,employer,748282,18,yes,1,2,5,2,2,1,2,condominium,10,Johor,3,6209,672383,19040,Accept,6
1,employer,175553,12,no,1,2,5,2,2,1,1,condominium,10,Johor,2,9972,1394542,8265,Reject,9
1,employer,196987,16,yes,1,2,5,2,2,1,3,condominium,10,Johor,2,7328,954301,16258,Reject,8
1,employer,473425,23,no,1,2,5,2,2,1,3,condominium,10,Johor,3,7580,927502,17751,Accept,6
1,employer,210738,10,yes,1,2,5,2,2,1,1,condominium,10,Johor,3,8816,946444,13394,Reject,6
1,employer,708722,15,no,1,2,5,2,2,1,1,condominium,10,Johor,2,11852,1308511,10653,Accept,6
1,employer,508544,19,yes,1,2,5,2,2,1,3,condominium,10,Johor,3,9605,803230,14399,Accept,9
1,employer,428719,11,no,1,2,5,2,2,1,3,condominium,10,Johor,2,7185,1330083,17093,Accept,8
1,employer,247640,15,yes,1,2,5,2,2,1,2,condominium,10,Johor,1,6547,666752,9508,Accept,7
1,employer,255874,24,no,1,2,5,2,2,1,3,condominium,10,Johor,2,8538,834522,16732,Accept,9
1,employer,767690,23,yes,1,2,5,2,2,1,1,condominium,10,Johor,2,10051,1227772,12280,Accept,8
1,employer,249608,21,no,1,2,5,2,2,1,2,condominium,10,Johor,1,9707,1011241,15707,Accept,7
1,employer,379899,13,yes,1,2,5,2,2,1,3,condominium,10,Johor,2,7505,1413168,13576,Accept,8
1,employer,637843,18,no,1,2,5,2,2,1,1,condominium,10,Johor,2,6552,815893,19938,Reject,9
1,employer,110747,15,yes,1,2,5,2,2,1,3,condominium,10,Johor,1,11154,1294348,18851,Reject,6
1,employer,379448,18,no,1,2,5,2,2,1,1,condominium,10,Johor,2,10817,818703,16334,Accept,7
1,employer,362448,14,yes,1,2,5,2,2,1,1,condominium,10,Johor,1,3698,538308,14981,Reject,6
1,employer,550775,24,no,1,2,5,2,2,1,1,condominium,10,Johor,1,6425,481871,15957,Accept,8
1,employer,540688,18,yes,1,2,5,2,2,1,1,condominium,10,Johor,2,10565,757268,17968,Reject,7
1,employer,405343,11,no,1,2,5,2,2,1,1,condominium,10,Johor,2,6116,746446,9174,Accept,6
1,employer,119973,22,yes,1,2,5,2,2,1,2,condominium,10,Johor,1,7443,1409154,19932,Reject,7
1,employer,503581,19,no,1,2,5,2,2,1,2,condominium,10,Johor,1,6911,601169,17488,Accept,9
1,employer,132350,21,yes,1,2,5,2,2,1,1,condominium,10,Johor,1,4489,1413238,14137,Accept,7
1,employer,139803,14,no,1,2,5,2,2,1,2,condominium,10,Johor,2,10945,937765,12078,Reject,7
1,employer,612336,10,yes,1,2,5,2,2,1,1,condominium,10,Johor,1,11675,903515,10349,Accept,6
1,employer,396011,14,no,1,2,5,2,2,1,2,condominium,10,Johor,3,9232,439917,10707,Accept,6
1,employer,565418,22,yes,1,2,5,2,2,1,1,condominium,10,Johor,1,10723,1179235,9137,Reject,6
